id, ime, priimek
1145, Maris, Durnill
1146, Terry, Langlais
1147, Kayne, Gifkins
1148, Florence, Shrive
1149, Therese, Redparth
1150, Eugenie, Pougher
1151, Dame, Pavyer
1152, Thekla, Rainsden
1153, Ric, Tomaszczyk
1154, Madlin, Thomelin
1155, Cindie, Finding
1156, Margarita, Hegerty
1157, Neal, Clericoates
1158, Una, Newing
1159, Lucila, Cresser
1160, Noelle, MacRorie
1161, Terri, Alywin
1162, Oberon, Vane
1163, Ekaterina, Buske
1164, Jonie, Jaggs
1165, Pasquale, Allpress
1166, Jolene, Chastenet
1167, Jozef, Canny
1168, Ede, Doreward
1169, Casey, Spurier
1170, Melita, Kwietak
1171, Cathyleen, Munnion
1172, Kelcie, McGroarty
1173, Raddie, Shuxsmith
1174, Ignatius, Mincini
1175, Benjamen, Sills
1176, Sheff, Crispin
1177, Daloris, Bauer
1178, Yuri, Lancetter
1179, Dov, Pentin
1180, Wilburt, Haverson
1181, Willetta, Insworth
1182, Naomi, McGreil
1183, Lise, Robertson
1184, Ingrim, Schwanden
1185, Collete, Swanton
1186, Wilhelm, Wickett
1187, Cordy, Pettifer
1188, Ivie, Diss
1189, Chloette, Terbeek
1190, Nedda, Blackley
1191, Luella, MacVanamy
1192, Laurence, Poskitt
1193, Jasun, Walster
1194, Garrek, Verbeek
1195, Creight, Hammor
1196, Bronny, Galey
1197, Allard, Edgson
1198, Elissa, Gwilym
1199, Chery, Scourfield
1200, Meyer, Mulder
1201, Gillie, Hanscombe
1202, Chris, Schimaschke
1203, Essie, Moisey
1204, Roldan, Twinterman
1205, Ricardo, Dargavel
1206, Gill, Seabrooke
1207, Cletus, Boyington
1208, Merridie, Jerdein
1209, Ursuline, Doidge
1210, Noach, Element
1211, Claus, Mandel
1212, Ericha, Loukes
1213, Leigh, Duchan
1214, Mireille, Dwelly
1215, Demeter, Gages
1216, Klemens, Thomlinson
1217, Hube, Gautrey
1218, Dre, Clyburn
1219, Rora, Vogel
1220, Dniren, Mapp
1221, Roy, Fearneley
1222, Hakeem, Metson
1223, Veronika, Elnaugh
1224, Eugine, Licence
1225, Law, Earthfield
1226, Sarge, Elcoux
1227, Yolane, Joules
1228, Franciskus, ORodane
1229, Seka, Craigie
1230, Alfredo, Urlich
1231, Hale, Oxbrough
1232, Faye, Mayhead
1233, Leland, Anderton
1234, Emile, Harewood
1235, Cristin, Marc
1236, Calvin, Kinch
1237, Aurelia, Bony
1238, Florenza, Covotto
1239, Cameron, Marshland
1240, Kania, Urch
1241, Fidelio, Patshull
1242, Kile, McLarnon
1243, Kaspar, Fenlon
1244, Cesar, Goodsir
1245, Tracey, MacKimmie
1246, Jolynn, Hearfield
1247, Codi, Sylett
1248, Kirstin, Lygo
1249, Shamus, Pogosian
1250, Blinnie, Poolton
1251, Ernestus, Kalinsky
1252, Doyle, Fibbings
1253, Isabelle, Blinkhorn
1254, Neall, Cowderay
1255, Flemming, McWhannel
1256, King, Ruggier
1257, Jeremias, Vignal
1258, Lodovico, Easterby
1259, Ernie, Raison
1260, Herbie, Pond-Jones
1261, Artemas, Bergin
1262, Mala, Bolgar
1263, Shelia, Daviot
1264, Wilhelmine, Burnell
1265, Ewart, Durnian
1266, Aharon, Cossor
1267, Hillard, Bryant
1268, Kristel, Newbery
1269, Ayn, Barnicott
1270, Roselin, Capron
1271, Gwenneth, Toolin
1272, Lacie, Bleckly
1273, Nial, McWhan
1274, Xena, Lepick
1275, Rakel, MacComiskey
1276, Daffie, Grubbe
1277, Urban, Ragot
1278, Maisey, Rushby
1279, Diena, Mowsdale
1280, Reba, Foat
1281, Deloria, Delue
1282, Boyce, Mandres
1283, Margalo, Aynold
1284, Gino, Gait
1285, Christoffer, Anfusso
1286, Elvis, Benitti
1287, Susy, Keddey
1288, Annnora, Ghelardoni
1289, Peter, Worg
1290, Lockwood, Poles
1291, Laetitia, Imason
1292, Merell, Bygrave
1293, Emmie, Frammingham
1294, Morie, Gibbie
1295, Bald, Slocombe
1296, Ertha, Wheeldon
1297, Arte, Sivyour
1298, Elbert, Lebarree
1299, Sanderson, Mulcahy
1300, Jerri, de Cullip
1301, Cahra, Ager
1302, Constantine, Blesli
1303, Paige, Twomey
1304, Ag, Hedden
1305, Sheela, Moncreif
1306, Nappy, Bedo
1307, Pablo, Losebie
1308, Elisha, Tomes
1309, Pansie, Izakov
1310, Danna, Joliffe
1311, Selestina, Pow
1312, Winne, Cheales
1313, Gregoor, Sarjant
1314, Klemens, Jimenez
1315, Kial, Brideaux
1316, Wallace, Toe
1317, Nial, Renzullo
1318, Bancroft, Stonard
1319, Huberto, Pendock
1320, Lavinia, Perrott
1321, Reynard, Rowthorn
1322, Eleanora, Proppers
1323, Baily, Narducci
1324, Standford, Hawford
1325, Nilson, Chawkley
1326, Siegfried, Abramovitz
1327, Chester, Friedank
1328, Willem, Bruckman
1329, Daisey, Lyness
1330, Angelina, Thorp
1331, Leeland, Combe
1332, Moira, Bog
1333, Josie, Ravilus
1334, Beauregard, Tribell
1335, Vi, Low
1336, Angil, Schonfelder
1337, Agata, Heal
1338, Weston, Girod
1339, Fiann, Calles
1340, Rina, Cramb
1341, Pierre, Amaya
1342, Christos, Suffe
1343, Freida, Pace
1344, Gerta, Halpine
1345, Langsdon, Vardon
1346, Sarena, Killford
1347, Rodolph, Nequest
1348, Marilee, Cosstick
1349, Nilson, Cains
1350, Inger, Fieldgate
1351, Hanan, Scroyton
1352, Sollie, Lipson
1353, Lucius, Lamball
1354, Mic, Rigts
1355, Boyd, Ephson
1356, Roderick, McSparran
1357, Lisa, Slopier
1358, Cleavland, McGeouch
1359, Kirstin, Frays
1360, Cinderella, Noad
1361, Hestia, Corah
1362, Wolfie, Simanek
1363, Karie, Kewish
1364, Locke, Moulds
1365, Terri-jo, Dursley
1366, Bradly, Goodsal
1367, Hettie, Goodliffe
1368, Lindsay, Cuthbert
1369, Grazia, Coldbathe
1370, Maisie, Vowles
1371, Kerr, Stoyles
1372, Claudie, Writtle
1373, Tiffany, Tremblet
1374, Jobi, Deeming
1375, Vanya, Deviney
1376, Prisca, Stollmeier
1377, Cleavland, Bernette
1378, Moses, Denge
1379, Winfield, Frango
1380, Davine, Heintze
1381, Jemimah, Cords
1382, Rochette, Spong
1383, Vi, Rider
1384, Phoebe, Gentsch
1385, Hermie, Gonnin
1386, Brenda, Pawelke
1387, Merrill, Devonald
1388, Linn, Godber
1389, Frannie, Bleything
1390, Denney, Corrison
1391, Phebe, Metham
1392, Jobye, Raeside
1393, Kaylee, MacConnal
1394, Giavani, Zapatero
1395, Elizabet, Dockrey
1396, Kirby, Ritson
1397, Paco, Lehrer
1398, Wain, Gipson
1399, Shaun, Kenelin
1400, Claudina, Girardot
1401, Hewett, Leuren
1402, Aili, Doret
1403, Ann, Crooke
1404, Myrtia, Shilvock
1405, Orlan, Hannaway
1406, Ky, Bagshaw
1407, Deeyn, Sprott
1408, Myrta, Haddleston
1409, Richie, Goolden
1410, Jenine, Lowthian
1411, Kristel, Batch
1412, Boone, Lauridsen
1413, Preston, Bethune
1414, Drusi, Gavahan
1415, Trude, Blackway
1416, Domini, Massenhove
1417, Appolonia, Pratty
1418, Fernandina, Gregoratti
1419, Roger, Andrzej
1420, Katinka, Viveash
1421, Pen, Costall
1422, Olive, MacTavish
1423, Cyril, Halvorsen
1424, Prinz, Folling
1425, Fleming, Kezor
1426, Isobel, Gookey
1427, Blondy, Amberger
1428, Beverlee, Middle
1429, Walsh, Annesley
1430, Brandyn, Brecon
1431, Lennard, Patrone
1432, Skippie, Deniset
1433, Jaye, Stuckow
1434, Lotti, Shields
1435, Waldemar, Wye
1436, Zerk, Danell
1437, Dorice, Scrogges
1438, Rachael, Musso
1439, Jermaine, Deetch
1440, Brendin, Gooms
1441, Edan, Hardiman
1442, Jorey, Bend
1443, Jory, Burgess
1444, Felicle, Sinson
1445, Julienne, Clench
1446, Brinn, Ludovico
1447, Nikos, Ellaman
1448, Coleman, Grise
1449, Keith, Parmby
1450, Lilah, Glassman
1451, Jessamyn, Carlet
1452, Daveta, Lober
1453, Herbert, Menier
1454, Noni, Haslock(e
1455, Rosalinda, Lindman
1456, Trey, Geffe
1457, Trent, Heggison
1458, Jeddy, Stockings
1459, Cortney, Sherwen
1460, Egan, Deerness
1461, Herta, Aleksankov
1462, Vale, Achrameev
1463, Demetria, Jewel
1464, Marlow, Raspin
1465, Nani, Poacher
1466, Matias, Rossetti
1467, Tatiana, Fraulo
1468, Lauren, Ianelli
1469, Sashenka, Belfield
1470, Giffer, Dumper
1471, Willie, Imloch
1472, Tanney, Younglove
1473, Ewen, McNevin
1474, Salvatore, Dowbekin
1475, Roxane, Boerderman
1476, Fiorenze, Spendlove
1477, Sunshine, Hildred
1478, Cammie, Greenin
1479, Kaitlynn, Hutcheon
1480, Elbert, Cavolini
1481, Meade, DeVere - Hunt
1482, Derward, Cornu
1483, Maisie, Maffezzoli
1484, Blithe, Acedo
1485, Jeanie, Klimek
1486, Ephraim, Maro
1487, Jolynn, Korbmaker
1488, Karen, Gulley
1489, Reuven, Oury
1490, Lola, Bahike
1491, Avis, Louca
1492, Beverie, Fores
1493, Marcello, MacIlwrick
1494, Rosabelle, Redmayne
1495, Melisande, Jiruch
1496, Hershel, Arnowitz
1497, Grace, Abramamovh
1498, Edie, Marxsen
1499, Kylie, Levicount
1500, Ami, Iacoboni
1501, Wanids, Wafer
1502, Aubree, Duker
1503, Benedick, MacPhee
1504, Jessy, Calliss
1505, Papageno, Boole
1506, Ibrahim, Kobelt
1507, Claudia, Sobey
1508, Stella, Sibbald
1509, Stephi, Ech
1510, Bryn, Sighard
1511, Josefina, Pittel
1512, Tomasine, Elldred
1513, Dasya, Mattys
1514, Shanna, Rolstone
1515, Helaine, Mance
1516, Lelia, Bortoli
1517, Anastassia, McCarry
1518, Christoffer, Millmore
1519, Ogden, Friatt
1520, Elisha, Scholes
1521, Maxie, Wotton
1522, Madella, Bidwell
1523, Rhodie, Gosnold
1524, Mindy, Fairtlough
1525, Alaster, Menere
1526, Christabella, Durber
1527, Olly, Acock
1528, Bessie, Mortimer
1529, Eleanore, DeAth
1530, Lian, Sarfat
1531, Alidia, Folder
1532, Arman, Hunnisett
1533, Ileane, Minillo
1534, Ruy, Stobbes
1535, Hildagarde, Davis
1536, Matilda, Mechic
1537, Danny, Bleesing
1538, Nadiya, Blazej
1539, Farlie, Strooband
1540, Bobinette, Mealing
1541, Marcello, Scoggans
1542, Mufinella, Wiffen
1543, Rabbi, Scoyles
1544, Bertie, Yurenev
1545, Matthaeus, Pleass
1546, Chastity, Czajkowski
1547, Elizabet, Thorrold
1548, Horatio, Worwood
1549, Murry, Dockrill
1550, Morley, Haysar
1551, Engracia, Lownsbrough
1552, Codi, Souten
1553, Madlin, Largan
1554, Margy, Middleweek
1555, Delora, Gravenor
1556, Sollie, Dunnion
1557, Kristos, Hacking
1558, Ninnetta, Cozens
1559, Crichton, Rate
1560, Reagan, Gouny
1561, Berti, Cassey
1562, Kayne, Kochs
1563, Orion, Siward
1564, Twila, Itzcovichch
1565, Latia, Diffley
1566, Jens, Hastewell
1567, Munmro, Twelvetree
1568, Clay, Tabbernor
1569, Wynny, Maybery
1570, Umeko, Foulger
1571, Ed, Crocombe
1572, Christian, Maulkin
1573, Hurley, Hyams
1574, Amber, Ledwidge
1575, Danie, Bolstridge
1576, Di, Tottie
1577, Elie, Whardley
1578, Gabbey, Heimes
1579, Marshal, Orts
1580, Poul, Olivier
1581, Kris, Hateley
1582, Carlin, Muccino
1583, Anne-corinne, Soff
1584, Darius, Hambleton
1585, Ellen, Beedham
1586, Konstantine, Girtin
1587, Kordula, Thormann
1588, Tris, Chezier
1589, Tana, Baudoux
1590, Lindon, Greensides
1591, Tildie, Peplay
1592, Feodor, Lauthian
1593, Raffaello, Andrzejczak
1594, Rafaello, Meddows
1595, Mack, Smalcombe
1596, Mildrid, Driscoll
1597, Reagen, Cassedy
1598, Bord, Vasilyev
1599, Alica, Alben
1600, Leticia, Aish
1601, Antonella, Boteman
1602, Kate, Jonin
1603, Nowell, Gagan
1604, Ira, Kynston
1605, Giralda, Santello
1606, Lexine, Folling
1607, Sonja, Round
1608, Norris, Pardue
1609, Lettie, Sondland
1610, Bella, MacKintosh
1611, Jamison, Fugere
1612, Peder, Kaszper
1613, Lilyan, Andell
1614, Clarey, Ranking
1615, Rafaelia, Memory
1616, Dagmar, Dolder
1617, Audry, Kydde
1618, Palm, McDugal
1619, Leroy, Bittlestone
1620, Cristionna, Sline
1621, Matthaeus, Linfitt
1622, Ailina, Castagnone
1623, Carmelina, Saines
1624, Clarabelle, Ingall
1625, Evie, Maddra
1626, Laurette, Crosthwaite
1627, Bendick, Beasley
1628, Beckie, Afield
1629, Kaylee, Kave
1630, Anetta, Readwin
1631, Ferne, Shooter
1632, Mari, Jurisch
1633, Jonis, Longhorne
1634, Carce, Shakespeare
1635, Adriane, Hultberg
1636, Wilbur, Blockey
1637, Hendrik, Sparway
1638, Ansley, Kunzler
1639, Crista, Currer
1640, Salome, McGonnell
1641, Celene, Watkins
1642, Bria, Taillant
1643, Ave, Atthow
1644, Eustacia, Magson
1645, Correy, Liddard
1646, Garret, Gamett
1647, Ag, De Filippo
1648, Ethyl, Mingaud
1649, Vilma, Dodshun
1650, Ingmar, Preshaw
1651, Honor, Pauel
1652, Elena, Lilleyman
1653, Trixi, McGrirl
1654, Fabiano, Gidney
1655, Gabby, Titterton
1656, Alida, Ormistone
1657, Dylan, Janiszewski
1658, Pincas, DElias
1659, Donetta, Clarycott
1660, Rollin, Eshmade
1661, Lita, Giovanardi
1662, Reggie, Sagg
1663, Donielle, Norcott
1664, Dyanne, Acuna
1665, Karlik, Obert
1666, Adriena, Bilbee
1667, Billie, Brazelton
1668, Guglielma, Kimmitt
1669, Granthem, Clunie
1670, Pamelina, Mallord
1671, Lulita, Mc Cahey
1672, Tally, Tott
1673, Belva, Follitt
1674, Henryetta, Ashington
1675, June, Housecroft
1676, Isadora, Rosnau
1677, Elyn, Krimmer
1678, Fraze, Harner
1679, Nevins, Bendon
1680, Eda, Van Arsdalen
1681, Marika, Mault
1682, Evanne, Muscott
1683, Cyrill, Izen
1684, Dorita, Liley
1685, Johnette, Luetchford
1686, Edee, Bollam
1687, Salvatore, Grishkov
1688, Rae, Erratt
1689, Janina, Mumby
1690, Bobby, Mendus
1691, Juliana, Karmel
1692, Nollie, Whiteside
1693, Ebenezer, Huntley
1694, Tracy, Attewill
1695, Cally, Marishenko
1696, Neel, Narbett
1697, Mahmoud, Carvil
1698, Catarina, Wisher
1699, Fonzie, Lombard
1700, Hannie, Klass
1701, Bert, Greiser
1702, Derek, Windle
1703, Cindy, Crossdale
1704, Kassey, Sudy
1705, Fanny, OCuddie
1706, Arley, Flewitt
1707, Phillida, Guilloux
1708, Orson, Swyndley
1709, Dulcea, Lea
1710, Roger, Finnis
1711, Jefferson, Gotts
1712, Franky, Kitteman
1713, Debee, Flattman
1714, Dacia, Ambridge
1715, Tandy, Geikie
1716, Riobard, Rebert
1717, Levy, Archambault
1718, Vanny, Sibson
1719, Marga, Snoden
1720, Kelsey, Spurden
1721, Dania, Duddin
1722, Leonelle, Collie
1723, Juditha, Bortoletti
1724, Pat, Windas
1725, Koenraad, Titford
1726, Fonsie, Nussgen
1727, Shauna, Poytress
1728, King, Klempke
1729, Leela, Fickling
1730, Friederike, Cuphus
1731, Anita, Chitter
1732, Antonetta, Ambroz
1733, Finlay, Heskin
1734, Gaultiero, Muzzi
1735, Jasmin, Maken
1736, Christoph, Thor
1737, Tracee, Koeppe
1738, Craig, ODrought
1739, Eric, Thying
1740, Hirsch, Mordanti
1741, Mayor, Chipperfield
1742, Ewan, Kitcatt
1743, Marchall, Juschka
1744, Trish, Siege
1745, Dena, Trowle
1746, Odella, Ollerearnshaw
1747, Derwin, Skunes
1748, Cameron, Aglione
1749, Errick, MacKnight
1750, Rustie, Coulthurst
1751, Alexandrina, Ticksall
1752, Arri, Holtham
1753, Meara, Beeck
1754, Diego, Spon
1755, Chaunce, McRavey
1756, Kaleena, Eymer
1757, Bayard, McCarthy
1758, Gawain, Frobisher
1759, Daffy, Downs
1760, Rochell, Illing
1761, Mahala, Pretti
1762, Melany, Goulthorp
1763, Shay, Westmarland
1764, Wilhelm, Drake
1765, Gilbert, Vaneschi
1766, Bowie, Pearcey
1767, Jany, Thorrold
1768, Perry, Twinborough
1769, Wilfred, Partrick
1770, Marin, Iggo
1771, Marlie, Baskerville
1772, Fairlie, Conway
1773, Aubree, Gillbee
1774, Priscella, Sawley
1775, Welby, Scrivenor
1776, Rora, Giovannilli
1777, Nolie, Pelfer
1778, Fulton, Lindfors
1779, Tomkin, Kirsche
1780, Yardley, Lorenz
1781, Giselle, Brimblecomb
1782, Leonore, Timmermann
1783, Clarine, Witherspoon
1784, Philippine, Leak
1785, Emmy, Dearnley
1786, Georgiana, Roff
1787, Elnar, Santora
1788, Cordy, Duffin
1789, Lorain, Paliser
1790, Linnie, Pyffe
1791, Herbert, Peppard
1792, Zenia, Pamphilon
1793, Bondy, Haylands
1794, Maximilien, OScannill
1795, Ferdinande, Steart
1796, Candis, Ghilardi
1797, Jermaine, Beeres
1798, Haskel, Hunt
1799, Francisca, Elliott
1800, Pren, Chatell
1801, Gabby, Kantor
1802, Carling, Talman
1803, Creigh, Bambridge
1804, Roarke, Grzeszczak
1805, Gerald, Bowkley
1806, Jeffie, Murfett
1807, Mile, Murdy
1808, Cassaundra, Gypps
1809, Eugenio, Stubbings
1810, Maxy, Jesson
1811, Amara, Glen
1812, Shoshana, Ribbens
1813, Hakeem, Loftus
1814, Georgine, Scarff
1815, Sheridan, MacQuaker
1816, Celinka, Yakebowitch
1817, Robbie, Aitken
1818, Fransisco, Ducket
1819, Grete, Margiotta
1820, Adelice, Kroll
1821, Worden, Hindes
1822, Maudie, Chorlton
1823, Jada, Hartopp
1824, Stella, Nimmo
1825, Louisette, Meachen
1826, Clara, Backman
1827, Korrie, Georgescu
1828, Marlene, Innerstone
1829, Nickola, Bodicam
1830, Arvy, Iacovides
1831, Adamo, Patzelt
1832, Moss, Lindeboom
1833, Micky, Perrelli
1834, Derron, Fozzard
1835, Eustacia, Deares
1836, Buckie, McNicol
1837, Anna-maria, Gebbe
1838, Ravid, Varnes
1839, Bond, Durie
1840, Udall, Kemmey
1841, Carena, Pidcock
1842, Joanna, Paice
1843, Madlen, Longmuir
1844, Andi, Ewbach
1845, Vergil, Meneyer
1846, Zelda, Brigstock
1847, Tillie, Gammie
1848, Dickie, Ablitt
1849, Sapphire, Delamar
1850, Elicia, Blennerhassett
1851, Glynda, Kemball
1852, Any, Goozee
1853, Lenna, Demsey
1854, Rachelle, Stains
1855, Armando, Summerson
1856, Josee, Grahlmans
1857, Orelie, Andreaccio
1858, Mufi, Boays
1859, Samuel, Shead
1860, Chariot, Mucklestone
1861, Clarette, Yallowley
1862, Orrin, Colley
1863, Valerie, Goodwin
1864, Michael, Izen
1865, Titus, Crohan
1866, Hurlee, Heynen
1867, Marcel, Thorius
1868, Drugi, Bondy
1869, Chev, Rive
1870, Skyler, Housen
1871, Abbie, Macci
1872, Gaylord, Jurczik
1873, Cherie, Sills
1874, Dix, Whittington
1875, Tamma, Schwandt
1876, Stanley, Jamary
1877, Joseph, McCreath
1878, Hildagard, Pawle
1879, Anett, Terlinden
1880, Maggy, Rentenbeck
1881, Alisun, Crannell
1882, Tannie, Hailes
1883, Ethe, Haselup
1884, Daisy, OKuddyhy
1885, Lexy, Corcut
1886, Stillmann, Stilgoe
1887, Eimile, Honnan
1888, Lucilia, Claypoole
1889, Farica, Surman
1890, Carmon, Sailor
1891, Gracia, Zucker
1892, Lissi, Lammerich
1893, Doris, Krzysztof
1894, Fulvia, ducarme
1895, Mari, Ricardon
1896, Ginny, Varga
1897, Obidiah, Cereceres
1898, Mallissa, Lovegrove
1899, Modesty, Whipp
1900, Ulrike, McGowing
1901, Katine, Felgate
1902, Loralyn, ORodane
1903, Shamus, Mitcham
1904, Giselle, Bartel
1905, Hyacinthe, Gallico
1906, Wolfie, McGinny
1907, Robin, Greeson
1908, Evan, Geaves
1909, Brenna, Milazzo
1910, Kaitlin, McIlory
1911, Hesther, Faier
1912, Daveta, Strothers
1913, Padraic, de Nore
1914, Beltran, OKennedy
1915, Gustave, Bednell
1916, Jermain, Sexty
1917, Corrine, Pesik
1918, Simone, Bricknall
1919, Dana, Crack
1920, Dannel, McAllen
1921, Elvin, Greated
1922, Rory, Redington
1923, Katha, Braga
1924, Ulises, Lakin
1925, Julio, Boays
1926, Alex, McAdam
1927, Yvon, Rameau
1928, Stanislaw, Mogie
1929, Anson, Feragh
1930, Obadiah, Stegers
1931, Robinet, Asling
1932, Martina, Baudins
1933, Quintana, Keable
1934, Elmer, Burchmore
1935, Dosi, Gibby
1936, Felecia, Trodler
1937, Myron, Wellan
1938, Penelope, Daverin
1939, Nobie, Stripling
1940, Grissel, Litherland
1941, Jemimah, Lake
1942, Margareta, Powers
1943, Doreen, Castellani
1944, Anni, Stormes
1945, Tomlin, McCome
1946, Marion, Cattemull
1947, Orville, Andrin
1948, Fran, Coraini
1949, Leopold, Hehl
1950, Rickie, Burtwistle
1951, Herb, Fine
1952, Stavros, Imort
1953, Vina, Chant
1954, Gardiner, Sonley
1955, Brena, Kaveney
1956, Nesta, Goggey
1957, Stanfield, Colerick
1958, Berrie, Corradino
1959, Harriett, Mattek
1960, Ellissa, Gonneau
1961, Avrom, Springall
1962, Bruis, Instrell
1963, Kenny, Sankey
1964, Selina, Walkingshaw
1965, Gay, Bugdale
1966, Dilan, De Gowe
1967, Oby, De Hailes
1968, Reeta, Simonot
1969, Harmony, Culcheth
1970, Kimball, Lonsbrough
1971, Rona, Dunstone
1972, Christophe, Livock
1973, Alexandra, Iglesia
1974, Drona, Sketch
1975, Annadiana, Mound
1976, Filmore, Dafter
1977, Kasey, Brewster
1978, Keefer, Broggini
1979, Flinn, Hancox
1980, Paulie, Petschel
1981, Franny, Roblin
1982, Urbanus, Rignoldes
1983, Jacinthe, Stealfox
1984, Marney, Warboys
1985, Blinni, Alflat
1986, Nita, Scothorne
1987, Robinet, Gotthard
1988, Flossie, OGrady
1989, Welch, Barefoot
1990, Bern, Anstiss
1991, Beverley, Oake
1992, Kanya, Trowbridge
1993, Mitchell, Wayon
1994, Ranee, Ramas
1995, Wendie, Caig
1996, Etheline, Beckensall
1997, Sloane, Please
1998, Vera, Conkay
1999, Aldrich, Droogan
2000, Barry, Shaddick
