id,Ime,Priimek
1140,Sanders,Elcoux
1141,Lovell,Braunton
1142,Niven,Chilvers
1143,Codi,Orro
1144,Hymie,Butting
1145,Ellsworth,Illes
1146,Dario,Palomba
1147,Hamlin,Robinson
1148,Gabbie,Whiteford
1149,Avery,Deavin
1150,Berkeley,Brittian
1151,York,Tomei
1152,Karlens,Handford
1153,Esra,Klimas
1154,Carleton,Meggison
1155,Peterus,Mustoo
1156,Gawain,Dyerson
1157,Alwyn,Ghidelli
1158,Sean,Fawkes
1159,Whitman,Reach
1160,Ethe,Varran
1161,Harlin,McGlashan
1162,Armando,Gellert
1163,Marco,Tuffley
1164,Rand,Ezzell
1165,Dino,Wattins
1166,Matt,Keighly
1167,Aldwin,Moncrieffe
1168,Giff,Purbrick
1169,Orbadiah,Walch
1170,Dorian,Shoreman
1171,Melvyn,Ruste
1172,Patricio,Hallows
1173,Doug,Gallandre
1174,Sonny,Moyles
1175,Keenan,Horrigan
1176,Guthrey,Sanzio
1177,Vail,Caesar
1178,Dilan,Petican
1179,Otto,Cusiter
1180,Clim,Filipic
1181,Shelley,Milley
1182,Boone,Edser
1183,Ibrahim,MacCart
1184,Reed,Maykin
1185,Clark,Suthren
1186,Reinwald,Conlon
1187,Hanson,Di Claudio
1188,Kermie,Maslen
1189,Shea,Kirkbright
1190,Yancy,Elleyne
1191,Baillie,Eyres
1192,Burgess,Jeandeau
1193,Artie,Rawes
1194,Bryant,Dibben
1195,Dominique,Mattevi
1196,Goraud,Mongan
1197,Crichton,de Castelain
1198,Isacco,Messier
1199,Zebadiah,Rottger
1200,Cletis,Mirando
1201,Haily,Tuftin
1202,Upton,Byfield
1203,Marlon,Daulby
1204,Sonnie,Mollen
1205,Flynn,Keeves
1206,Selig,McGruar
1207,Cecil,Batts
1208,Lenard,Sichardt
1209,Noach,Verney
1210,Town,Jelfs
1211,Elvin,MacNess
1212,Gaven,Luparto
1213,Noah,Leach
1214,Cody,Murcott
1215,Frans,Bleasby
1216,Taddeo,Batchelor
1217,Van,Nolleth
1218,Hanson,Petherick
1219,Niccolo,Forre
1220,Haskell,Foldes
1221,Granthem,Harries
1222,Randi,Gatherell
1223,Aldridge,Weyman
1224,Bern,Raselles
1225,Rock,Scowcraft
1226,Haze,Goodlife
1227,Anthony,Coggan
1228,Packston,Rushman
1229,Leonidas,Jeakins
1230,Dorie,Warlowe
1231,Hartwell,Kempshall
1232,Harland,Seleway
1233,Chadd,Trattles
1234,Scott,Torresi
1235,Parry,Hawkswood
1236,Rab,Cadding
1237,Dennison,Wycliffe
1238,Stephen,Kimmons
1239,Gregorio,Rubinovici
1240,Myron,Strattan
1241,Shawn,Vink
1242,Conrad,Kopke
1243,Bank,Arthey
1244,Sergeant,McAlindon
1245,Fons,Simnett
1246,Jared,Wemm
1247,Dalston,Ashley
1248,Thayne,Eccott
1249,Craig,Gredden
1250,Matias,Haddeston
1251,Aloysius,Petken
1252,Trueman,Pettipher
1253,Zackariah,Jaulmes
1254,Tobias,Teasell
1255,Aksel,McKellar
1256,Aland,Netti
1257,Rufe,Scibsey
1258,Vasily,Predohl
1259,Job,Deverock
1260,Evered,Bate
1261,Zebulen,Breen
1262,Derrik,Tomini
1263,Jarrad,Gadd
1264,Efren,Burnie
1265,Mel,Allardyce
1266,Welbie,Philippeaux
1267,Hersh,Plet
1268,Francois,Karczinski
1269,Nicola,Crannach
1270,Addie,Willisch
1271,Elihu,Ungerechts
1272,Cornell,Wyllcock
1273,Malcolm,Bourrel
1274,Dolf,Gandrich
1275,Jermayne,Dory
1276,Berny,Paolucci
1277,Sigvard,Arrighini
1278,Galvan,Fawdrie
1279,Tamas,Capp
1280,Baldwin,Drohane
1281,Nicky,Daw
1282,Octavius,Tavinor
1283,Bradley,Doge
1284,Jeddy,Polden
1285,Roma,Rominov
1286,Weber,Pettendrich
1287,Barny,Cornner
1288,Harlin,Crosdill
1289,Reamonn,Dyton
1290,Edmund,Abramowitch
1291,Cozmo,Tocqueville
1292,Gay,Lightning
1293,Tanney,Ortzen
1294,Jermaine,Benedicto
1295,Tracie,Yvens
1296,Odey,Capehorn
1297,Tomas,Pinyon
1298,Vassili,Willis
1299,Lindsey,Andrzej
1300,Constantin,Mailey
1301,Torry,Casacchia
1302,Abelard,Lilion
1303,Garold,McGuire
1304,Damon,Doreward
1305,Adolph,Backman
1306,Alix,Cesconi
1307,Erasmus,Cullerne
1308,Galvan,Samwyse
1309,Roderich,Tosney
1310,Ringo,Roote
1311,Glyn,Bingell
1312,Lennard,Williment
1313,Hy,Blandamere
1314,Thedric,Hospital
1315,Forrester,Beedom
1316,Bay,MacLardie
1317,Hewe,Gladdin
1318,Rog,Havelin
1319,Tad,Vidyapin
1320,Kennie,Dyshart
1321,Donalt,Landrick
1322,Eustace,Blayd
1323,Thornie,Boycott
1324,Fin,Endacott
1325,Roger,Wrigglesworth
1326,Cedric,Konmann
1327,Trever,Sheffield
1328,Haywood,Craigmile
1329,Udale,Trimmill
1330,Skylar,O'Heffernan
1331,Gunar,Murdy
1332,Wade,Hadwick
1333,Yance,Fewkes
1334,Kile,Caltera
1335,Jeremy,Leak
1336,Abie,Issett
1337,Andrej,Nottle
1338,Haywood,Gilbank
1339,Colas,Matveiko
1340,Odell,Dykes
1341,Lyle,Darke
1342,Merv,Kobierra
1343,Eric,Millott
1344,Erik,Fawcitt
1345,Parsifal,Urrey
1346,Job,Marrian
1347,Magnum,Skurray
1348,Arney,Kentish
1349,Muhammad,Morville
1350,Raoul,Lutwyche
1351,Andris,Fluin
1352,Orson,Rosenstein
1353,Filmore,O'Hara
1354,Freedman,Reedy
1355,Riordan,Letteresse
1356,Alwyn,Domenget
1357,Griz,Zarfat
1358,Sigismondo,Forsdike
1359,Jayme,Walduck
1360,Ikey,Stow
1361,Vittorio,Yashunin
1362,Osmond,Sercombe
1363,Rock,Eefting
1364,Clement,Gillbard
1365,Brice,Grzelewski
1366,Sergeant,Musla
1367,Theobald,Ranner
1368,Ahmed,Machan
1369,Griffy,Wadhams
1370,Leigh,Jacobowits
1371,Danny,Kleinstub
1372,Rogerio,Chuter
1373,Farlee,Dayes
1374,Izak,Haker
1375,Lezley,Hutten
1376,Yurik,Beccero
1377,Nicholas,Pipkin
1378,Merry,Gotter
1379,Spike,Oloshin
1380,Auberon,Jantel
1381,Dame,Dearn
1382,Ferdinand,Pullen
1383,Correy,Alvaro
1384,Graham,Pragnall
1385,Morty,Gernier
1386,Launce,Cahill
1387,Trent,Wilkowski
1388,Dudley,Antecki
1389,Geoff,Georgievski
1390,Isadore,Camplin
1391,Antin,Mowsdill
1392,Laney,Gerwood
1393,Willi,Yakovitch
1394,Aluin,Kochel
1395,Witty,Garrie
1396,Stearne,Cutchee
1397,Teodoor,Jutson
1398,Damiano,Grigor
1399,Laurent,Lloyds
1400,Les,Cockson
1401,Zach,Clementel
1402,Henri,Bottelstone
1403,Barrett,Durtnal
1404,Tait,Moorman
1405,Warner,Acres
1406,Noe,Matschke
1407,Bryon,Jozwik
1408,Daven,Anneslie
1409,Sayer,Jeratt
1410,Darrin,Tomasoni
1411,Adler,Ruffy
1412,Galvan,Storrah
1413,Ruggiero,Bartoli
1414,Filbert,Siggers
1415,Ferdy,Corsor
1416,Ned,Keays
1417,Vincenty,Blacksland
1418,Dewitt,O' Mahony
1419,Skipp,Wishart
1420,Nico,Poel
1421,Mile,Rampling
1422,Percival,Lamperti
1423,Manolo,Durnan
1424,Hilliard,Sellan
1425,Benny,Dowdeswell
1426,Marietta,Erskin
1427,Zackariah,Chese
1428,Zebulen,Ollivier
1429,Jdavie,Fabb
1430,Laurent,Duck
1431,Verne,Scully
1432,Izak,New
1433,Jaymie,Oakhill
1434,Kristos,Benford
1435,Jeffry,Ridd
1436,Brand,Toffaloni
1437,Milo,Lobell
1438,Sylas,Stigers
1439,Putnem,Stenner
1440,Horatius,Gilbanks
1441,Corney,McHardy
1442,Cesare,Morena
1443,Franklyn,Alberti
1444,Otto,Dyter
1445,Trstram,Johananoff
1446,Ricoriki,Hubery
1447,Chadwick,Ragsdale
1448,Adolphus,Hellen
1449,Stinky,Gerardi
1450,Conrado,Upcott
1451,Brit,Chominski
1452,Garry,McAlinion
1453,Ozzy,De Hoogh
1454,Kale,Van der Linde
1455,Dillie,Battie
1456,Humbert,Starkings
1457,Cobbie,Mabbitt
1458,Sloane,Burden
1459,Cirilo,Marginson
1460,Patricio,Dawtry
1461,Cord,Gladman
1462,Archambault,Bedell
1463,Peirce,Stannis
1464,Alvin,Walworth
1465,Kimble,Frisby
1466,Edsel,Vedyashkin
1467,Radcliffe,Wheildon
1468,Martie,Anscott
1469,Haskell,Dome
1470,Dermot,Brownsill
1471,Isidoro,Forber
1472,Freedman,Ranstead
1473,Abey,O'Sharkey
1474,Jimmie,Prowting
1475,Gay,McCreary
1476,Julio,Gillicuddy
1477,Morey,Hunter
1478,Curran,Titcumb
1479,Garner,Ramsdale
1480,Frasco,Janatka
1481,Ingemar,Laverty
1482,Sully,Stanley
1483,Bryn,Morgon
1484,Dougy,McCombe
1485,Jayme,Bowness
1486,Clementius,Laba
1487,Alexio,Idenden
1488,Simon,Hodjetts
1489,Fitzgerald,Maltby
1490,Arron,Gruszczak
1491,Hardy,Labrenz
1492,Elvin,Hamshere
1493,Beale,Gerin
1494,Isiahi,Stollberg
1495,Lorin,Malarkey
1496,Mart,Longden
1497,James,Aggiss
1498,Ruby,Petigrew
1499,Sidney,Jansson
1500,Barth,Spering
